sn_region;sn_locality;sn_section;sub_plot;group_of_plots;sn_site;small_138_cover;small_142_cover;small_146_cover;small_150_cover;small_153_cover;small_211_cover;days_snow_water;date_snow_free;days_pick;days_bull;date_pick;date_bull;date_disturbance;pick_pa;bull_pa;veg_small_1;veg_small_2;field_class_small;field_class_s;field_class_vier;field_class_drei;field_class_large;field_class_large_x;veg_dry;veg_cru;veg_bgr;veg_hea;veg_roc;veg_hmo;veg_lit;veg_gra;veg_cas;veg_mgr;veg_meq;veg_wet;veg_mbr;veg_mwg;veg_wat;goose_count_advent_138;goose_count_advent_142;goose_count_advent_146;goose_count_advent_150;goose_count_advent_153;goose_cum_advent_138;goose_cum_advent_142;goose_cum_advent_146;goose_cum_advent_150;goose_cum_advent_153;goose_count_todalen_138;goose_count_todalen_142;goose_count_todalen_146;goose_count_todalen_150;goose_count_todalen_153;goose_cum_todalen_138;goose_cum_todalen_142;goose_cum_todalen_146;goose_cum_todalen_150;goose_cum_todalen_153
svalbard;ADV;END;t1an1;t1a;t1;p;p;p;n;p;p;0;138;;;138;;138;1;0;most;;dryas_heath;hmo;hmo;dry;dry;hmo;;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1an2;t1a;t1;n;n;n;n;p;p;0;138;;;153;;153;1;0;c;;dryas_heath;cru;na;na;dry;dry;;1;;;;;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1an3;t1a;t1;p;p;n;p;p;p;0;138;;;138;;138;1;0;most;;dryas_heath;hmo;hmo;dry;dry;hmo;;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1an4;t1a;t1;p;p;p;p;p;p;0;138;;;138;;138;1;0;most;;dryas_heath;hmo;hmo;dry;dry;hmo;;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1ae1;t1a;t1;p;p;p;p;p;p;0;138;;;138;;138;1;0;most;;dryas_heath;hmo;hmo;dry;dry;hmo;;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1ae2;t1a;t1;p;n;n;n;n;n;0;138;;;138;;138;1;0;most;;dryas_heath;hmo;hmo;dry;dry;hmo;;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1ae3;t1a;t1;n;n;n;n;n;n;0;138;;;;;;0;0;c;;dryas_heath;cru;na;na;dry;dry;;1;;;;;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1ae4;t1a;t1;p;p;n;n;n;p;0;138;;;138;;138;1;0;most;;dryas_heath;hmo;hmo;dry;dry;hmo;;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1as1;t1a;t1;p;p;p;p;p;p;0;138;;;138;;138;1;0;most;;dryas_heath;hmo;hmo;dry;dry;hmo;;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1as2;t1a;t1;n;p;n;p;p;p;0;138;;;142;;142;1;0;most;;dryas_heath;hmo;hmo;dry;dry;hmo;;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1as3;t1a;t1;n;n;n;n;w;n;0;134;;;;;;0;0;c;;dryas_heath;cru;na;na;dry;dry;;1;;;;;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1as4;t1a;t1;n;p;n;p;p;n;0;138;;;142;;142;1;0;b;c;dryas_heath;bgr;na;na;dry;dry;;1;1;;;;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1aw1;t1a;t1;p;p;n;n;n;p;0;138;;;138;;138;1;0;most;;dryas_heath;hmo;hmo;dry;dry;hmo;;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1aw2;t1a;t1;n;p;p;p;p;p;0;138;;;142;;142;1;0;most;;dryas_heath;hmo;hmo;dry;dry;hmo;;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1aw3;t1a;t1;n;n;n;n;n;n;0;138;;;;;;0;0;most;;dryas_heath;hmo;hmo;dry;dry;hmo;;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1aw4;t1a;t1;n;n;n;n;n;n;0;138;;;;;;0;0;most;;dryas_heath;hmo;hmo;dry;dry;hmo;;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1bn1;t1b;t1;p;n;p;n;n;n;0;138;;;138;;138;1;0;d;ms;dryas_heath;dry;dry;dry;dry;dry;1;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1bn2;t1b;t1;p;p;n;n;p;p;0;138;;;138;;138;1;0;d;ms;dryas_heath;dry;dry;dry;dry;dry;1;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1bn3;t1b;t1;s;s;p;p;p;n;0;146;;;146;;146;1;0;d;lit;dryas_heath;dry;dry;dry;dry;dry;1;;;;;;1;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1bn4;t1b;t1;s;s;s;n;n;p;0;150;;;;;;0;0;ms;;dryas_heath;hmo;hmo;dry;dry;hmo;;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1be1;t1b;t1;p;p;p;n;n;n;0;138;;;138;;138;1;0;ms;d;dryas_heath;hmo;hmo;dry;dry;hmo;1;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1be2;t1b;t1;n;n;n;n;n;n;0;138;;;;;;0;0;d;;dryas_heath;dry;dry;dry;dry;dry;1;;;;;;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1be3;t1b;t1;n;n;n;n;n;n;0;138;;;;;;0;0;g;;dryas_heath;gra;na;na;dry;dry;;;;;;;;1;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1be4;t1b;t1;n;n;n;n;n;n;0;138;;;;;;0;0;g;;dryas_heath;gra;na;na;dry;dry;;;;;;;;1;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1bs1;t1b;t1;n;n;n;n;p;p;0;134;5;;153;;153;1;0;ms;;dryas_heath;hmo;hmo;dry;dry;hmo;;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1bs2;t1b;t1;n;n;n;n;n;n;0;138;;;;;;0;0;ms;d;dryas_heath;dry;dry;dry;dry;dry;1;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1bs3;t1b;t1;n;n;n;n;n;n;0;138;;;;;;0;0;ms;;dryas_heath;hmo;hmo;dry;dry;hmo;;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1bs4;t1b;t1;s;n;p;p;p;n;1;142;2;;146;;146;1;0;ms;;dryas_heath;hmo;hmo;dry;dry;hmo;;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1bw1;t1b;t1;p;p;p;p;p;p;0;138;1;;138;;138;1;0;ms;;dryas_heath;hmo;hmo;dry;dry;hmo;;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1bw2;t1b;t1;n;n;n;n;n;p;0;138;;;;;;0;0;ms;d;dryas_heath;dry;dry;dry;dry;dry;1;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1bw3;t1b;t1;s;n;n;n;n;n;1;142;;;;;;0;0;ms;d;dryas_heath;dry;dry;dry;dry;dry;1;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1bw4;t1b;t1;s;s;s;n;n;n;3;150;;;;;;0;0;ms;;dryas_heath;hmo;hmo;dry;dry;hmo;;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1cn1;t1c;t1;s;s;s;n;n;n;3;150;;;;;;0;0;d;c;dryas_heath;dry;dry;dry;dry;dry;1;1;;;;;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1cn2;t1c;t1;s;s;s;s;n;n;4;153;;;;;;0;0;c;;dryas_heath;cru;na;na;dry;dry;;1;;;;;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1cn3;t1c;t1;s;s;s;s;s;n;5;late;;;;;;0;0;d;lit;dryas_heath;dry;dry;dry;dry;dry;1;;;;;;1;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1cn4;t1c;t1;s;s;s;s;s;n;5;late;;;;;;0;0;d;lit;dryas_heath;dry;dry;dry;dry;dry;1;;;;;;1;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1ce1;t1c;t1;s;s;s;n;n;n;3;150;;;;;;0;0;d;ms;dryas_heath;dry;dry;dry;dry;dry;1;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1ce2;t1c;t1;s;s;s;s;s;n;5;late;;;;;;0;0;c;ms;dryas_heath;hmo;hmo;dry;dry;hmo;;1;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1ce3;t1c;t1;s;s;s;s;n;n;4;153;;;;;;0;0;ms;c;dryas_heath;hmo;hmo;dry;dry;hmo;;1;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1ce4;t1c;t1;s;s;s;n;n;n;3;150;;;;;;0;0;d;ms;dryas_heath;dry;dry;dry;dry;dry;1;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1cs1;t1c;t1;s;s;s;s;n;n;4;153;;;;;;0;0;d;c;dryas_heath;dry;dry;dry;dry;dry;1;1;;;;;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1cs2;t1c;t1;s;s;s;s;n;n;4;153;;;;;;0;0;ms;r;dryas_heath;hmo;hmo;dry;dry;hmo;;;;;1;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1cs3;t1c;t1;s;s;s;s;s;p;4;late;;;;;;0;0;c;ms;dryas_heath;hmo;hmo;dry;dry;hmo;;1;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1cs4;t1c;t1;s;s;s;s;s;n;5;late;;;;;;0;0;c;cas;cassiope;cas;dry;dry;dry;dry;;1;;;;;;;1;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1cw1;t1c;t1;s;s;s;s;n;n;4;153;;;;;;0;0;c;;dryas_heath;cru;na;na;dry;dry;;1;;;;;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1cw2;t1c;t1;s;s;s;s;n;n;4;153;;;;;;0;0;ms;d;dryas_heath;dry;dry;dry;dry;dry;1;;;;;1;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1cw3;t1c;t1;s;s;s;s;s;n;5;late;;;;;;0;0;c;d;dryas_heath;dry;dry;dry;dry;dry;1;1;;;;;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t1cw4;t1c;t1;s;s;s;s;s;n;5;late;;;;;;0;0;c;d;dryas_heath;dry;dry;dry;dry;dry;1;1;;;;;;;;;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2an1;t2a;t2;b;b;b;b;b;b;0;134;;1;;138;138;0;1;mhb;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2an2;t2a;t2;b;b;b;b;b;b;0;138;;1;;138;138;0;1;mhb;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2an3;t2a;t2;b;b;b;b;b;b;0;134;;1;;138;138;0;1;mhb;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2an4;t2a;t2;s;s;p;b;b;b;2;146;1;2;146;150;146;1;1;mhb;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2ae1;t2a;t2;b;b;b;b;b;b;0;138;;1;;138;138;0;1;mhb;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2ae2;t2a;t2;p;b;p;b;b;b;0;138;1;2;138;142;138;1;1;mhb;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2ae3;t2a;t2;s;s;s;n;b;p;3;150;;2;;153;153;0;1;mhb;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2ae4;t2a;t2;s;s;s;p;b;b;3;150;1;2;150;153;150;1;1;mhb;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2as1;t2a;t2;b;b;b;b;b;b;0;138;;1;;138;138;0;1;mhb;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2as2;t2a;t2;s;s;b;b;b;b;2;146;;1;;146;146;0;1;mhb;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2as3;t2a;t2;s;s;s;b;b;b;3;150;;1;;150;150;0;1;mhb;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2as4;t2a;t2;s;s;s;s;b;b;4;153;;1;;153;153;0;1;meb;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2aw1;t2a;t2;b;b;b;b;b;b;0;138;;1;;138;138;0;1;mhb;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2aw2;t2a;t2;n;b;b;b;b;b;0;134;;2;;142;142;0;1;mhb;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2aw3;t2a;t2;s;n;n;b;b;b;1;142;;3;;150;150;0;1;mhb;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2aw4;t2a;t2;s;s;p;b;b;b;2;146;1;2;146;150;146;1;1;mhb;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2bn1;t2b;t2;b;b;b;b;b;b;0;134;;1;;138;138;0;1;mhb;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2bn2;t2b;t2;s;s;n;n;n;n;2;146;;;;;;0;0;mh;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2bn3;t2b;t2;s;s;s;s;w;p;5;153;;;;;;0;0;mh;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2bn4;t2b;t2;s;s;s;s;w;n;5;153;;;;;;0;0;me;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;;1;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2be1;t2b;t2;b;b;b;b;b;p;0;138;;1;;138;138;0;1;mh;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2be2;t2b;t2;p;b;b;b;b;p;0;138;1;2;138;142;138;1;1;mh;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2be3;t2b;t2;n;n;p;n;n;p;0;138;3;;146;;146;1;0;mh;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2be4;t2b;t2;s;n;n;n;n;n;1;142;;;;;;0;0;mh;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2bs1;t2b;t2;s;p;p;p;p;p;1;142;1;;142;;142;1;0;mh;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2bs2;t2b;t2;s;s;s;p;p;p;3;150;1;;150;;150;1;0;mh;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2bs3;t2b;t2;s;s;s;b;b;b;3;150;;1;;150;150;0;1;mhb;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2bs4;t2b;t2;s;s;s;b;b;p;3;150;;1;;150;150;0;1;mh;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
svalbard;ADV;END;t2bw1;t2b;t2;b;b;b;b;b;b;0;134;;1;;138;138;0;1;mhb;;moss_herbaceous;mgr;moist;moist;moist;moist;;;;;;;;;;1;;;;;;565;967;1532;1062;335;2556;5785;10606;16306;18037;43;54;110;139;126;282;418;858;1342;1745
